scheme_name,min_sip,min_lumpsum,expense_ratio,fund_size_cr,fund_age_yr,fund_manager,sortino,alpha,sd,beta,sharpe,amc_name,rating,sub_category,returns_1yr,Average_Returns,risk_level_2,risk_level_3,risk_level_4,risk_level_5,risk_level_6,category_Equity,category_Hybrid,category_Other,category_Solution Oriented
HDFC Children’s Gift Fund,100,100,0.96,6157.0,10,Chirag Setalvad,4.11,7.62,11.58,0.76,1.87,HDFC Mutual Fund,0,Childrens Funds,10.5,16.73333333333333,False,False,False,False,True,False,False,False,True
HDFC Corporate Bond Fund,100,100,0.32,23486.0,10,Anupam Joshi,1.59,1.91,2.19,0.94,0.99,HDFC Mutual Fund,3,Corporate Bond Mutual Funds,4.1,6.1000000000000005,False,True,False,False,False,False,False,False,False
HDFC Credit Risk Debt Fund,100,100,0.95,8437.0,9,Shobhit Mehrotra,1.5,2.63,2.56,-0.52,1.3,HDFC Mutual Fund,3,Credit Risk Funds,4.6,6.766666666666667,False,False,True,False,False,False,False,False,False
HDFC Dynamic Debt Fund,100,100,0.49,527.0,10,Anil Bamboli,2.3,2.71,3.62,0.55,0.79,HDFC Mutual Fund,4,Dynamic Bond,4.6,6.0,False,True,False,False,False,False,False,False,False
HDFC Dynamic PE Ratio Fund,100,100,0.22,30.0,10,Srinivasan Ramamurthy,4.11,6.38,9.63,0.6,1.8,HDFC Mutual Fund,4,FoFs Domestic,8.6,13.866666666666667,False,False,False,True,False,False,False,True,False
HDFC Equity Savings Fund,100,100,1.1,2524.0,10,Anil Bamboli,3.67,4.42,7.09,0.98,1.61,HDFC Mutual Fund,4,Equity Savings Mutual Funds,5.1,9.966666666666667,False,False,True,False,False,False,True,False,False
HDFC Flexi Cap Fund,100,100,1.0,31672.0,10,Roshi Jain,3.4,5.15,18.4,1,1.56,HDFC Mutual Fund,4,Flexi Cap Funds,12.4,20.3,False,False,False,False,True,True,False,False,False
HDFC Floating Rate Debt Fund,100,100,0.26,14785.0,10,Shobhit Mehrotra,3.33,3.39,1.24,0.9,1.76,HDFC Mutual Fund,4,Floater Mutual Funds,5.6,6.333333333333333,False,True,False,False,False,False,False,False,False
HDFC Focused 30 Fund,100,100,0.54,3609.0,10,Roshi Jain,3.93,7.78,17.19,0.92,1.71,HDFC Mutual Fund,3,Focused Funds,16.0,21.23333333333333,False,False,False,False,True,True,False,False,False
HDFC Gilt Fund,100,100,0.46,1739.0,10,Anil Bamboli,0.43,0.23,2.78,0.64,0.34,HDFC Mutual Fund,2,Gilt Mutual Funds,3.6,4.966666666666667,False,True,False,False,False,False,False,False,False
HDFC Gold Fund,100,100,0.18,1402.0,10,Nirman Morakhia,1.03,-0.5,14.19,1.01,0.47,HDFC Mutual Fund,5,FoFs Domestic,14.2,13.299999999999999,False,False,False,True,False,False,False,True,False
HDFC Housing Opportunities Fund,100,100,1.28,1081.0,5,Rakesh Vyas,2.5,0.23,19.34,1,1.23,HDFC Mutual Fund,0,Sectoral / Thematic Mutual Funds,9.8,14.933333333333335,False,False,False,False,True,True,False,False,False
HDFC Hybrid Debt Fund,100,100,1.33,2695.0,10,Shobhit Mehrotra,3.46,3.73,4.97,0.69,1.74,HDFC Mutual Fund,3,Conservative Hybrid Mutual Funds,6.0,9.233333333333334,False,False,True,False,False,False,True,False,False
HDFC Hybrid Equity Fund,100,100,1.09,18729.0,10,Chirag Setalvad,3.42,4.86,13.03,0.87,1.6,HDFC Mutual Fund,3,Aggressive Hybrid Mutual Funds,7.7,14.866666666666669,False,False,False,False,True,False,True,False,False
HDFC Income Fund,100,100,0.51,528.0,10,Shobhit Mehrotra,0.43,0.51,2.53,1.28,0.34,HDFC Mutual Fund,3,Medium to Long Duration Funds,3.8,5.033333333333333,False,True,False,False,False,False,False,False,False
HDFC Index Fund,100,100,0.2,4210.0,10,Nirman Morakhia,3.48,-0.64,16.76,1,1.31,HDFC Mutual Fund,4,Index Funds,2.4,13.666666666666666,False,False,False,False,True,False,False,True,False
HDFC Index Fund,100,100,0.2,7457.0,10,Nirman Morakhia,3.24,-1.01,17.02,1.01,1.28,HDFC Mutual Fund,3,Index Funds,0.9,12.966666666666667,False,False,False,False,True,False,False,True,False
HDFC Infrastructure Fund,100,100,1.75,593.0,10,Rakesh Vyas,3.12,2.65,23.69,0.88,1.3,HDFC Mutual Fund,1,Sectoral / Thematic Mutual Funds,16.5,18.7,False,False,False,False,True,True,False,False,False
HDFC Large and Mid Cap Fund,100,100,1.03,7897.0,10,Gopal Agrawal,3.56,4.97,17.78,0.98,1.55,HDFC Mutual Fund,3,Large & Mid Cap Funds,6.3,17.466666666666665,False,False,False,False,True,True,False,False,False
HDFC Liquid Fund,300,5000,0.2,49008.0,10,Anupam Joshi,3.68,1.34,0.38,0.78,0.79,HDFC Mutual Fund,2,Liquid Mutual Funds,5.6,5.066666666666666,True,False,False,False,False,False,False,False,False
HDFC Low Duration Fund,100,100,0.43,14779.0,10,Anupam Joshi,3.31,2.82,1.11,0.67,1.73,HDFC Mutual Fund,4,Low Duration Funds,5.4,6.1000000000000005,True,False,False,False,False,False,False,False,False
HDFC Medium Term Debt Fund,100,100,0.58,3538.0,10,Shobhit Mehrotra,1.34,2.14,2.33,0.78,1.01,HDFC Mutual Fund,3,Medium Duration Funds,4.1,6.133333333333333,False,False,True,False,False,False,False,False,False
HDFC Mid-Cap Opportunities Fund,100,100,0.95,35009.0,10,Chirag Setalvad,3.64,2.45,16.86,0.93,1.77,HDFC Mutual Fund,3,Mid Cap Mutual Funds,11.9,19.733333333333334,False,False,False,False,True,True,False,False,False
HDFC Money Market Fund,100,100,0.21,15176.0,10,Vikas Agrawal,4.85,3.08,0.69,1.33,1.89,HDFC Mutual Fund,3,Money Market Funds,5.6,5.833333333333333,False,True,False,False,False,False,False,False,False
HDFC Multi-Asset Fund,100,100,0.88,1643.0,10,Srinivasan Ramamurthy,4.21,5.06,11.41,0.72,1.6,HDFC Mutual Fund,4,Multi Asset Allocation Mutual Funds,6.9,13.6,False,False,False,False,True,False,True,False,False
HDFC Overnight Fund,300,100,0.1,20146.0,10,Anil Bamboli,-0.53,0.53,0.35,0.42,-0.09,HDFC Mutual Fund,2,Overnight Mutual Funds,5.3,4.566666666666666,False,False,False,False,False,False,False,False,False
HDFC Retirement Savings Fund,100,100,0.78,2696.0,7,Srinivasan Ramamurthy,4.32,9.26,15.16,0.85,1.92,HDFC Mutual Fund,5,Retirement Funds,11.6,20.433333333333334,False,False,False,False,True,False,False,False,True
HDFC Retirement Savings Fund,100,100,1.03,932.0,7,Srinivasan Ramamurthy,3.27,3.03,3.23,0.43,1.88,HDFC Mutual Fund,4,Retirement Funds,8.0,14.933333333333332,False,False,False,False,True,False,False,False,True
HDFC Retirement Savings Fund,100,100,1.0,140.0,7,Shobhit Mehrotra,4.39,6.37,11.43,0.73,1.74,HDFC Mutual Fund,4,Retirement Funds,6.0,8.033333333333333,False,False,True,False,False,False,False,False,True
HDFC Short Term Debt Fund,100,100,0.29,11028.0,10,Anil Bamboli,2.33,4.24,1.87,1.45,1.23,HDFC Mutual Fund,3,Short Duration Funds,4.7,6.333333333333333,False,True,False,False,False,False,False,False,False
HDFC Small Cap Fund,100,100,0.8,14648.0,10,Chirag Setalvad,3.75,6.54,19.61,0.91,1.88,HDFC Mutual Fund,3,Small Cap Mutual Funds,12.5,23.166666666666668,False,False,False,False,True,True,False,False,False
HDFC Tax Saver Fund,500,500,1.15,9723.0,10,Roshi Jain,3.71,4.47,15.3,0.88,1.64,HDFC Mutual Fund,2,ELSS Mutual Funds,10.0,17.099999999999998,False,False,False,False,True,True,False,False,False
HDFC Top 100 Fund,100,100,1.11,22139.0,10,Rahul Baijal,3.3,1.75,17.08,0.97,1.39,HDFC Mutual Fund,2,Large Cap Mutual Funds,6.6,15.700000000000001,False,False,False,False,True,True,False,False,False
HDFC Ultra Short Term Fund,100,100,0.34,13303.0,5,Anil Bamboli,4.46,2.7,0.64,1.1,1.93,HDFC Mutual Fund,4,Ultra Short Duration Funds,5.4,5.45,False,True,False,False,False,False,False,False,False
HSBC Aggressive Hybrid Fund,500,5000,0.87,4636.0,10,Shriram Ramanathan,2.41,0.57,12.27,0.81,1.26,HSBC Mutual Fund,2,Aggressive Hybrid Mutual Funds,-1.2,8.799999999999999,False,False,False,False,True,False,True,False,False
HSBC Arbitrage Fund,500,5000,0.29,2344.0,9,Ritesh Jain,1.54,1.63,0.7,0.63,1.12,HSBC Mutual Fund,4,Arbitrage Mutual Funds,5.4,5.2,False,False,False,False,False,False,True,False,False
HSBC Asia Pacific (Ex Japan) DYF – Direct Growth,500,5000,1.29,8.4,9,Sonal Gupta,0.87,-,17.08,-,0.48,HSBC Mutual Fund,0,FoFs Overseas,-4.2,5.033333333333332,False,False,False,False,True,False,False,True,False
HSBC Balanced Advantage Fund,500,5000,0.78,1511.0,10,Ritesh Jain,2.95,0.89,7.21,0.45,1.27,HSBC Mutual Fund,3,Dynamic Asset Allocation or Balanced Advantage,3.5,8.299999999999999,False,False,True,False,False,False,True,False,False
HSBC Banking and PSU Debt Fund,500,5000,0.23,3779.0,10,Jalpan Shah,0.64,5.62,2.39,3.36,0.47,HSBC Mutual Fund,1,Banking and PSU Mutual Funds,2.2,4.8999999999999995,False,True,False,False,False,False,False,False,False
HSBC Business Cycles Fund,500,5000,1.42,535.0,9,Venugopal Manghat,3.13,2.69,17.41,0.97,1.46,HSBC Mutual Fund,0,Sectoral / Thematic Mutual Funds,7.0,14.566666666666668,False,False,False,False,True,True,False,False,False
HSBC Conservative Hybrid Fund,500,5000,1.34,122.0,10,Ritesh Jain,2.3,0.76,4.75,0.74,1.28,HSBC Mutual Fund,3,Conservative Hybrid Mutual Funds,2.3,6.7,False,False,True,False,False,False,True,False,False
HSBC Corporate Bond Fund,500,5000,0.35,157.0,2,Ritesh Jain,0.44,0.67,2.47,1.09,0.39,HSBC Mutual Fund,2,Corporate Bond Mutual Funds,1.7,15.800000000000002,True,False,False,False,False,False,False,False,False
HSBC Corporate Bond Fund,500,5000,0.29,6772.0,10,Shriram Ramanathan,0.67,1.19,3.55,1.68,0.47,HSBC Mutual Fund,1,Corporate Bond Mutual Funds,3.3,5.833333333333333,False,True,False,False,False,False,False,False,False
HSBC Credit Risk Fund,500,5000,0.85,130.0,10,Shriram Ramanathan,0.33,-1.87,3.73,-2.39,0.35,HSBC Mutual Fund,3,Credit Risk Funds,4.8,5.2,False,False,True,False,False,False,False,False,False
HSBC Dynamic Bond Fund,500,5000,0.29,200.0,10,Shriram Ramanathan,0.44,0.67,2.47,1.09,0.39,HSBC Mutual Fund,3,Dynamic Bond,4.7,5.633333333333334,False,True,False,False,False,False,False,False,False
HSBC ELSS Fund,500,500,1.16,3007.0,10,Cheenu Gupta,2.8,-0.03,16.03,0.91,1.33,HSBC Mutual Fund,1,ELSS Mutual Funds,-1.2,10.3,False,False,False,False,True,True,False,False,False
HSBC Equity Hybrid Fund,500,5000,1.0,474.0,4,Neelotpal Sahai,2.41,0.57,12.27,0.81,1.26,HSBC Mutual Fund,3,Aggressive Hybrid Mutual Funds,1.7,15.800000000000002,False,False,False,False,True,False,True,False,False
HSBC Equity Savings Fund,500,5000,0.62,150.0,10,Ritesh Jain,4.47,5.57,6.24,0.85,1.86,HSBC Mutual Fund,2,Equity Savings Mutual Funds,2.9,8.633333333333333,False,True,False,False,False,False,True,False,False
HSBC Flexi Cap Fund,500,5000,1.23,3097.0,10,Vihang Naik,2.92,0.36,16.25,0.94,1.38,HSBC Mutual Fund,2,Flexi Cap Funds,-1.2,11.466666666666667,False,False,False,False,True,True,False,False,False
HSBC Flexi Debt Fund,500,5000,0.94,54.0,10,Ritesh Jain,0.44,0.67,2.47,1.09,0.39,HSBC Mutual Fund,2,Dynamic Bond,1.7,15.800000000000002,False,True,False,False,False,False,False,False,False
HSBC Gilt Fund,500,5000,0.48,231.0,10,Jalpan Shah,0.49,0.51,2.94,0.64,0.41,HSBC Mutual Fund,3,Gilt Mutual Funds,5.0,5.833333333333333,False,True,False,False,False,False,False,False,False
HSBC Infrastructure Fund,500,5000,1.14,1476.0,10,Venugopal Manghat,3.69,10.03,16.32,0.6,1.78,HSBC Mutual Fund,2,Sectoral / Thematic Mutual Funds,11.3,18.066666666666666,False,False,False,False,True,True,False,False,False
HSBC Large & Mid Cap Fund,500,5000,1.08,1992.0,4,Neelotpal Sahai,3.02,1.39,15.85,0.91,1.4,HSBC Mutual Fund,2,Large & Mid Cap Funds,-0.6,12.5,False,False,False,False,True,True,False,False,False
HSBC Large Cap Fund,500,5000,1.26,1405.0,10,Neelotpal Sahai,2.6,-2.34,16.62,0.97,1.18,HSBC Mutual Fund,2,Large Cap Mutual Funds,0.0,11.299999999999999,False,False,False,False,True,True,False,False,False
HSBC Liquid Fund,500,5000,0.12,12043.0,10,Kapil Punjabi,4.42,1.38,0.38,0.77,0.91,HSBC Mutual Fund,3,Liquid Mutual Funds,5.7,5.1000000000000005,True,False,False,False,False,False,False,False,False
HSBC Low Duration Fund,500,5000,0.25,467.0,10,Shriram Ramanathan,0.63,0.3,2.32,-0.78,0.58,HSBC Mutual Fund,3,Low Duration Funds,5.2,5.533333333333334,True,False,False,False,False,False,False,False,False
HSBC Managed Solutions Conservative Fund,500,5000,0.54,34.0,9,Gautam Bhupal,0.86,-1.07,4.45,0.49,0.55,HSBC Mutual Fund,2,FoFs Domestic,3.2,5.266666666666667,False,True,False,False,False,False,False,True,False
HSBC Managed Solutions Growth Fund,500,5000,1.06,34.0,9,Gautam Bhupal,3.05,1.87,13.16,0.9,1.4,HSBC Mutual Fund,2,FoFs Domestic,0.6,10.666666666666666,False,False,False,False,True,False,False,True,False
HSBC Managed Solutions Moderate Fund,500,5000,0.76,58.0,9,Gautam Bhupal,2.81,0.67,10.91,0.74,1.31,HSBC Mutual Fund,2,FoFs Domestic,1.2,9.633333333333333,False,False,False,True,False,False,False,True,False
HSBC Medium Duration Fund,500,5000,0.4,643.0,8,Shriram Ramanathan,0.84,1.93,2.78,0.67,0.76,HSBC Mutual Fund,3,Medium Duration Funds,4.2,5.966666666666666,False,True,False,False,False,False,False,False,False
HSBC Medium to Long Duration Fund,500,5000,0.68,41.0,10,Jalpan Shah,0.11,-0.16,3.1,1.54,0.09,HSBC Mutual Fund,1,Medium to Long Duration Funds,2.7,4.566666666666666,False,True,False,False,False,False,False,False,False
HSBC Midcap Fund,500,5000,0.74,6980.0,10,Vihang Naik,3.33,-1.16,14.76,0.8,1.53,HSBC Mutual Fund,2,Mid Cap Mutual Funds,2.3,12.4,False,False,False,False,True,True,False,False,False
HSBC Money Market Fund,500,5000,0.25,716.0,10,Shriram Ramanathan,2.45,2.43,0.61,1.31,1.12,HSBC Mutual Fund,1,Money Market Funds,5.2,5.366666666666667,True,False,False,False,False,False,False,False,False
HSBC Overnight Fund,500,5000,0.1,2759.0,4,Kapil Punjabi,0.92,0.65,0.34,0.44,0.16,HSBC Mutual Fund,5,Overnight Mutual Funds,5.4,4.65,False,False,False,False,False,False,False,False,False
HSBC Short Duration Fund,500,5000,0.27,3592.0,10,Shriram Ramanathan,1.18,4.85,1.72,2.63,0.78,HSBC Mutual Fund,2,Short Duration Funds,3.8,5.5,True,False,False,False,False,False,False,False,False
HSBC Small Cap Fund,500,5000,0.77,8625.0,9,Venugopal Manghat,4.16,9.87,17.95,0.82,2.08,HSBC Mutual Fund,3,Small Cap Mutual Funds,5.1,20.833333333333332,False,False,False,False,True,True,False,False,False
HSBC Tax Saver Equity Fund,500,5000,1.3,175.0,10,Gautam Bhupal,3.05,-1.65,16.52,0.96,1.26,HSBC Mutual Fund,2,ELSS Mutual Funds,-2.2,10.466666666666667,False,False,False,False,True,True,False,False,False
HSBC Ultra Short Duration Fund,500,5000,0.22,2279.0,3,Mahesh A Chhabria,3.5,2.48,0.54,1.17,1.69,HSBC Mutual Fund,3,Ultra Short Duration Funds,5.5,5.3,True,False,False,False,False,False,False,False,False
HSBC Value Fund,500,5000,0.84,7781.0,10,Venugopal Manghat,3.18,6.92,17.01,0.96,1.69,HSBC Mutual Fund,3,Value Funds,6.8,17.133333333333333,False,False,False,False,True,True,False,False,False
ICICI Pru All Seasons Bond Fund,100,5000,0.62,6754.0,10,Manish Banthia,2.39,2.84,2.25,0.98,1.38,ICICI Prudential Mutual Fund,5,Dynamic Bond,6.5,7.3999999999999995,False,True,False,False,False,False,False,False,False
ICICI Pru Asset Allocator Fund,1000,5000,0.18,18393.0,10,Dharmesh Kakkad,5.89,7.45,8.68,0.53,1.99,ICICI Prudential Mutual Fund,4,FoFs Domestic,8.8,14.4,False,False,True,False,False,False,False,True,False
ICICI Pru Balanced Advantage Fund,100,500,0.91,44515.0,10,Sankaran Naren,5.59,5.34,8.33,0.54,1.84,ICICI Prudential Mutual Fund,4,Dynamic Asset Allocation or Balanced Advantage,6.7,12.266666666666666,False,False,False,True,False,False,True,False,False
ICICI Pru Banking & Financial Services – DirectGrowth,100,5000,1.1,5871.0,10,Roshan Chutkey,2.23,3.74,23.41,0.87,1.06,ICICI Prudential Mutual Fund,3,Sectoral / Thematic Mutual Funds,7.0,13.866666666666665,False,False,False,False,True,True,False,False,False
ICICI Pru Banking & PSU Debt Fund,100,500,0.38,7265.0,10,Rahul Goswami,2.64,4.03,1.75,1.21,1.37,ICICI Prudential Mutual Fund,5,Banking and PSU Mutual Funds,5.8,6.633333333333333,True,False,False,False,False,False,False,False,False
ICICI Pru BHARAT 22 FOF  – Direct Growth,1000,5000,0.08,89.0,5,Kayzad Eghlim,2.76,9.68,20.2,0.88,1.47,ICICI Prudential Mutual Fund,5,FoFs Domestic,22.1,28.55,False,False,False,False,True,False,False,True,False
ICICI Pru Bharat Consumption Fund,100,5000,1.54,1866.0,4,Sankaran Naren,3.37,4.95,11.73,0.6,1.6,ICICI Prudential Mutual Fund,3,Sectoral / Thematic Mutual Funds,10.2,16.45,False,False,False,False,True,True,False,False,False
ICICI Pru Bluechip Fund,100,100,1.06,34198.0,10,Anish Tawakley,3.59,3.05,15.23,0.9,1.53,ICICI Prudential Mutual Fund,4,Large Cap Mutual Funds,4.4,14.966666666666669,False,False,False,False,True,True,False,False,False
ICICI Pru Bond Fund,100,5000,0.6,2223.0,10,Manish Banthia,1.2,1.58,2.69,1.26,0.72,ICICI Prudential Mutual Fund,3,Medium to Long Duration Funds,5.2,6.466666666666668,False,True,False,False,False,False,False,False,False
ICICI Pru Child Care Fund,100,5000,1.69,844.0,10,Manish Banthia,2.86,2.18,11.15,0.74,1.42,ICICI Prudential Mutual Fund,3,Childrens Funds,1.0,9.866666666666667,False,False,False,False,True,False,False,False,True
ICICI Pru Corporate Bond Fund,100,100,0.3,16998.0,10,Rahul Goswami,3.07,2.35,1.67,0.68,1.52,ICICI Prudential Mutual Fund,5,Corporate Bond Mutual Funds,5.8,6.7,True,False,False,False,False,False,False,False,False
ICICI Pru Credit Risk Fund,100,100,0.86,7584.0,10,Manish Banthia,3.18,3.97,1.59,0.42,2.15,ICICI Prudential Mutual Fund,4,Credit Risk Funds,5.8,7.3,False,False,True,False,False,False,False,False,False
ICICI Pru Debt Management Fund,100,100,0.41,141.0,10,Manish Banthia,3.01,2.07,1.61,0.53,1.38,ICICI Prudential Mutual Fund,4,FoFs Domestic,5.8,6.5,False,True,False,False,False,False,False,True,False
ICICI Pru Dividend Yield Equity Fund,100,5000,0.66,1258.0,9,Mittul Kalawadia,5.06,10.39,15.42,0.83,1.94,ICICI Prudential Mutual Fund,0,Dividend Yield Funds,8.5,19.400000000000002,False,False,False,False,True,True,False,False,False
ICICI Pru Equity & Debt Fund,100,5000,1.2,21232.0,10,Sankaran Naren,4.15,9.56,14.26,0.84,1.75,ICICI Prudential Mutual Fund,5,Aggressive Hybrid Mutual Funds,6.8,17.233333333333334,False,False,False,False,True,False,True,False,False
ICICI Pru Equity – Arbitrage Fund,1000,5000,0.39,11272.0,10,Kayzad Eghlim,1.27,1.59,0.75,0.63,0.99,ICICI Prudential Mutual Fund,3,Arbitrage Mutual Funds,5.6,5.3,False,False,False,False,False,False,True,False,False
ICICI Pru Equity Savings Fund,100,5000,0.54,4936.0,8,Kayzad Eghlim,5.26,4.82,4.82,0.57,1.84,ICICI Prudential Mutual Fund,3,Equity Savings Mutual Funds,6.2,8.933333333333332,True,False,False,False,False,False,True,False,False
ICICI Pru Exports and Services Fund,1000,5000,1.76,1040.0,10,Sankaran Naren,4.35,6.7,14.06,0.78,1.78,ICICI Prudential Mutual Fund,0,Sectoral / Thematic Mutual Funds,5.7,15.933333333333332,False,False,False,False,True,True,False,False,False
ICICI Pru Floating Interest Fund,100,500,0.62,11650.0,10,Rahul Goswami,2.75,3.22,1.77,0.47,1.46,ICICI Prudential Mutual Fund,2,Floater Mutual Funds,6.3,6.833333333333333,True,False,False,False,False,False,False,False,False
ICICI Pru FMCG Fund,100,5000,1.44,1156.0,10,Priyanka Khandelwal,3.73,7.44,11.56,0.47,1.61,ICICI Prudential Mutual Fund,0,Sectoral / Thematic Mutual Funds,21.1,19.7,False,False,False,False,True,True,False,False,False
ICICI Pru Focused Equity Fund,100,5000,0.59,3920.0,10,Sankaran Naren,3.27,4.86,15.84,0.89,1.62,ICICI Prudential Mutual Fund,4,Focused Funds,6.1,16.9,False,False,False,False,True,True,False,False,False
ICICI Pru Gilt Fund,1000,5000,0.56,2692.0,10,Rahul Goswami,1.22,1.87,3.2,0.69,0.82,ICICI Prudential Mutual Fund,5,Gilt Mutual Funds,6.3,7.133333333333333,False,True,False,False,False,False,False,False,False
ICICI Pru Global Stable Equity Fund,1000,5000,1.26,111.0,10,Rohan Maru,1.69,-,13.7,-,0.9,ICICI Prudential Mutual Fund,0,FoFs Overseas,3.4,10.566666666666666,False,False,False,False,True,False,False,True,False
ICICI Pru Income Optimizer Fund,1000,5000,0.26,272.0,10,Dharmesh Kakkad,5.43,5.75,3.85,0.47,2.37,ICICI Prudential Mutual Fund,5,FoFs Domestic,7.8,9.966666666666667,False,True,False,False,False,False,False,True,False
ICICI Pru India Equity FOF – Direct Growth,100,500,0.88,62.0,3,Dharmesh Kakkad,3.95,6.83,15.57,0.84,1.71,ICICI Prudential Mutual Fund,5,FoFs Domestic,4.9,18.55,False,False,False,False,True,False,False,True,False
ICICI Pru India Opportunities Fund,100,5000,0.73,7644.0,4,Sankaran Naren,3.51,9.93,19.93,0.99,1.67,ICICI Prudential Mutual Fund,0,Sectoral / Thematic Mutual Funds,11.7,28.200000000000003,False,False,False,False,True,True,False,False,False
ICICI Pru Infrastructure Fund,100,5000,1.64,2269.0,10,Ihab Dalwai,4.04,11.76,20.09,0.78,1.83,ICICI Prudential Mutual Fund,5,Sectoral / Thematic Mutual Funds,24.3,27.799999999999997,False,False,False,False,True,True,False,False,False
ICICI Pru Large & Mid Cap Fund,100,5000,1.09,7044.0,10,Ihab Dalwai,3.99,7.49,17.05,0.92,1.68,ICICI Prudential Mutual Fund,4,Large & Mid Cap Funds,9.5,18.8,False,False,False,False,True,True,False,False,False
ICICI Pru Liquid Fund,99,99,0.2,47245.0,10,Rahul Goswami,4.39,1.39,0.38,0.78,0.94,ICICI Prudential Mutual Fund,2,Liquid Mutual Funds,5.6,5.066666666666666,False,True,False,False,False,False,False,False,False
ICICI Pru Long Term Equity Fund,500,500,1.23,9819.0,10,Harish Bihani,0.06,6.9,4.06,5.04,0.04,ICICI Prudential Mutual Fund,3,ELSS Mutual Funds,-0.2,12.800000000000002,False,False,False,False,True,True,False,False,False
ICICI Pru Long Term Wealth Enhancement Fund,0,500,0.97,32.0,5,Rajat Chandak,3.33,0.78,16.64,0.95,1.39,ICICI Prudential Mutual Fund,0,ELSS Mutual Funds,-0.7,14.766666666666666,False,False,False,False,True,True,False,False,False
ICICI Pru Manufacturing Fund,100,5000,1.7,645.0,4,Anish Tawakley,3.44,7.67,17.45,0.94,1.71,ICICI Prudential Mutual Fund,0,Sectoral / Thematic Mutual Funds,8.6,22.1,False,False,False,False,True,True,False,False,False
ICICI Pru Medium Term Bond Fund,1000,5000,0.77,6305.0,10,Manish Banthia,1.69,2.74,2.28,0.69,1.29,ICICI Prudential Mutual Fund,4,Medium Duration Funds,5.6,6.966666666666666,False,False,True,False,False,False,False,False,False
ICICI Pru MidCap Fund,100,5000,1.16,3492.0,10,Lalit Kumar,3.32,0.33,17.76,0.96,1.62,ICICI Prudential Mutual Fund,3,Mid Cap Mutual Funds,3.9,15.966666666666667,False,False,False,False,True,True,False,False,False
ICICI Pru Money Market Fund,100,500,0.21,11475.0,10,Rahul Goswami,4.38,2.82,0.67,1.25,1.72,ICICI Prudential Mutual Fund,3,Money Market Funds,5.5,5.666666666666667,False,True,False,False,False,False,False,False,False
ICICI Pru Multi-Asset Fund,100,5000,1.15,16449.0,10,Sankaran Naren,3.99,10.44,13.67,0.81,1.85,ICICI Prudential Mutual Fund,4,Multi Asset Allocation Mutual Funds,11.3,18.933333333333334,False,False,False,False,True,False,True,False,False
ICICI Pru Multicap Fund,100,5000,1.02,6929.0,10,Sankaran Naren,3.31,3.09,16.79,0.94,1.49,ICICI Prudential Mutual Fund,0,Multi Cap Funds,5.7,15.533333333333337,False,False,False,False,True,True,False,False,False
ICICI Pru Nifty 50 Index Fund,100,100,0.17,3977.0,10,Kayzad Eghlim,3.46,-0.72,16.8,1,1.3,ICICI Prudential Mutual Fund,3,Index Funds,0.9,12.966666666666667,False,False,False,False,True,False,False,True,False
ICICI Pru Nifty Next 50 Index Fund,100,100,0.3,2415.0,10,Kayzad Eghlim,1.7,-4.7,18.11,0.98,0.97,ICICI Prudential Mutual Fund,1,Index Funds,-6.4,7.233333333333333,False,False,False,False,True,False,False,True,False
ICICI Pru Overnight Fund,500,100,0.1,12837.0,4,Rahul Goswami,-0.25,0.54,0.35,0.42,-0.05,ICICI Prudential Mutual Fund,3,Overnight Mutual Funds,5.4,4.65,False,False,False,False,False,False,False,False,False
ICICI Pru P.H.D Fund,100,5000,1.22,2538.0,5,Dharmesh Kakkad,2.68,3.7,21.09,0.96,1.03,ICICI Prudential Mutual Fund,0,Sectoral / Thematic Mutual Funds,-6.0,9.5,False,False,False,False,True,True,False,False,False
ICICI Pru Passive Strategy Fund,1000,5000,0.06,93.0,10,Dharmesh Kakkad,3.11,1.99,14.83,0.84,1.46,ICICI Prudential Mutual Fund,3,FoFs Domestic,4.9,14.033333333333333,False,False,False,False,True,False,False,True,False
ICICI Pru Regular Gold Savings Fund,100,100,0.09,671.0,10,Manish Banthia,1.1,-0.21,14,0.99,0.49,ICICI Prudential Mutual Fund,3,FoFs Domestic,14.3,13.033333333333333,False,False,False,True,False,False,False,True,False
ICICI Pru Regular Savings Fund,100,5000,0.99,3212.0,10,Manish Banthia,3.57,3.21,3.41,0.5,2,ICICI Prudential Mutual Fund,5,Conservative Hybrid Mutual Funds,5.5,8.6,False,False,True,False,False,False,True,False,False
ICICI Pru Retirement Fund,100,5000,1.22,209.0,4,Lalit Kumar,2.78,2.63,11.88,0.78,1.44,ICICI Prudential Mutual Fund,5,Retirement Funds,0.1,15.700000000000001,False,False,False,False,True,False,False,False,True
ICICI Pru Retirement Fund,100,5000,1.12,152.0,4,Lalit Kumar,2.43,1.02,4.45,0.64,1.26,ICICI Prudential Mutual Fund,3,Retirement Funds,1.7,15.800000000000002,False,False,False,False,True,False,False,False,True
ICICI Pru Retirement Fund,100,5000,1.0,59.0,4,Lalit Kumar,2.16,2.1,2.28,0.93,1.04,ICICI Prudential Mutual Fund,3,Retirement Funds,2.0,5.95,False,False,True,False,False,False,False,False,True
ICICI Pru Retirement Fund,100,5000,1.29,175.0,4,Manish Banthia,3.51,8.42,15.15,0.75,1.71,ICICI Prudential Mutual Fund,3,Retirement Funds,4.6,5.699999999999999,False,True,False,False,False,False,False,False,True
